,Airline,Aircraft,FlightDuration,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,PitchDifference,WidthDifference,PercentPremiumSeats,month_num
0,1,1,12.25,1,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69,7
1,1,1,12.25,1,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69,8
2,1,1,12.25,1,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69,9
3,1,1,12.25,1,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69,10
4,1,1,8.16,1,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69,8
5,1,1,8.16,1,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69,9
6,1,1,8.16,1,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69,10
7,1,1,6.5,1,122,40,31,38,18,19,1476,2997,1.03,162,7,1,24.69,8
8,1,1,6.5,1,122,40,31,38,18,19,1476,2997,1.03,162,7,1,24.69,9
9,1,1,11.5,1,122,40,31,38,18,19,1705,2989,0.75,162,7,1,24.69,9
10,1,1,11.5,1,122,40,31,38,18,19,1705,2989,0.75,162,7,1,24.69,10
11,1,1,11.5,1,122,40,31,38,18,19,1911,2989,0.56,162,7,1,24.69,8
12,1,1,11.5,1,122,40,31,38,18,19,2378,2989,0.26,162,7,1,24.69,7
13,1,1,11.58,1,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69,8
14,1,1,11.58,1,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69,9
15,1,1,11.58,1,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69,10
16,1,1,9.16,1,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69,8
17,1,1,9.16,1,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69,9
18,1,1,9.16,1,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69,10
19,1,1,6.75,1,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69,8
20,1,1,6.75,1,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69,9
21,1,1,6.75,1,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69,10
22,1,1,6.66,1,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69,8
23,1,1,6.66,1,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69,9
24,1,1,6.66,1,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69,10
25,1,1,8.75,1,122,40,31,38,18,19,1542,2084,0.35,162,7,1,24.69,8
26,1,1,8.75,1,122,40,31,38,18,19,1566,2084,0.33,162,7,1,24.69,9
27,1,1,8.75,1,122,40,31,38,18,19,1566,2084,0.33,162,7,1,24.69,10
28,1,1,4.91,1,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69,8
29,1,1,4.91,1,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69,9
30,1,1,4.91,1,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69,10
31,1,1,3.83,1,122,40,31,38,18,19,1242,1764,0.42,162,7,1,24.69,7
